Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DD,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2012-01-03,12.610315322875977,50.5107307434082,41.869728088378906,60.73109817504883,71.36605072021484,25.299999237060547,13.845226287841797,73.9953384399414,34.30062484741211,32.10574722290039,81.77965545654297,33.938602447509766,43.12282180786133,131.8726043701172,18.413331985473633,49.986942291259766,26.549663543701172,25.837587356567383,74.85506439208984,63.89619064331055,26.613435745239258,21.707487106323242,21.615436553955078,49.4158821105957,46.72947692871094,44.211429595947266,24.04772186279297,25.347017288208008,25.659273147583008,48.08943557739258
2012-01-04,12.678082466125488,50.23497772216797,41.895790100097656,60.82109832763672,72.02671813964844,24.3700008392334,14.112767219543457,73.86792755126953,34.78410339355469,32.2781867980957,81.2479248046875,34.42184066772461,43.084022521972656,131.3345947265625,18.841022491455078,49.683448791503906,26.71784019470215,25.67550277709961,75.27159881591797,64.42424774169922,26.641225814819336,22.218347549438477,21.93025779724121,49.39371109008789,46.53935623168945,44.85539245605469,23.618087768554688,25.01527214050293,25.480762481689453,47.59523010253906
2012-01-05,12.818840026855469,50.74709701538086,42.38214874267578,60.16649627685547,72.53550720214844,24.6924991607666,14.060745239257812,73.14386749267578,35.36606979370117,32.48296356201172,81.11072540283203,34.70371627807617,43.130577087402344,130.7117156982422,19.058622360229492,49.622745513916016,27.27589225769043,25.553936004638672,75.60482788085938,64.13346862792969,26.919172286987305,22.445392608642578,21.916858673095703,49.186668395996094,46.998802185058594,45.155921936035156,23.79554557800293,24.843013763427734,25.3953914642334,47.36407470703125
2012-01-06,12.952842712402344,51.022857666015625,41.92184066772461,60.53472137451172,72.7177734375,25.264999389648438,14.008723258972168,72.6142349243164,35.7331657409668,32.67694854736328,80.11590576171875,34.79230880737305,42.812461853027344,129.21104431152344,18.946077346801758,49.190250396728516,27.03127098083496,25.39185333251953,76.18798828125,63.80437088012695,26.731555938720703,22.79407501220703,21.8789005279541,49.068359375,47.0146598815918,45.31907272338867,23.515348434448242,24.771923065185547,25.674795150756836,47.02928161621094
2012-01-09,12.93229866027832,50.58164596557617,42.02606201171875,60.984764099121094,73.7353286743164,25.1875,14.097905158996582,73.40534210205078,35.58992004394531,32.66617965698242,81.20503234863281,34.816471099853516,43.16937255859375,128.53868103027344,19.11113739013672,49.26612091064453,26.98540687561035,25.39185333251953,75.46094512939453,64.18704223632812,26.67597007751465,22.494049072265625,21.95928192138672,49.275390625,47.283973693847656,45.267555236816406,23.32621955871582,24.797773361206055,26.000774383544922,47.17276382446289
2012-01-10,12.978598594665527,51.73982238769531,42.26924133300781,61.36932373046875,75.90711975097656,26.197500228881836,13.993860244750977,73.11705780029297,35.48246765136719,33.38826370239258,84.32666778564453,35.05809020996094,43.89868927001953,128.3404541015625,19.201190948486328,49.47097396850586,27.558753967285156,25.542882919311523,75.50635528564453,64.51612091064453,26.76629638671875,22.57513427734375,21.986074447631836,49.046180725097656,47.608768463134766,45.18168640136719,23.302867889404297,24.927034378051758,26.699304580688477,47.06118392944336
2012-01-11,12.957438468933105,52.314971923828125,42.512413024902344,61.15656280517578,75.66410827636719,26.454999923706055,14.172219276428223,72.2521743774414,34.649803161621094,33.87322998046875,85.55302429199219,35.001712799072266,43.805580139160156,129.05531311035156,19.358753204345703,49.417869567871094,28.02507209777832,25.071367263793945,75.6805419921875,64.11050415039062,26.68986701965332,22.47783088684082,21.912391662597656,48.56554412841797,47.450347900390625,45.51655578613281,23.14175033569336,25.140302658081055,26.39661407470703,47.34812927246094
2012-01-12,12.921868324279785,53.213157653808594,43.120365142822266,61.78666305541992,77.41069793701172,26.420000076293945,14.231671333312988,70.37499237060547,34.67666244506836,35.0910758972168,86.79654693603516,34.94533157348633,44.37196731567383,127.80244445800781,19.321237564086914,49.49375915527344,28.170320510864258,24.890872955322266,76.16524505615234,64.50080108642578,26.828840255737305,22.704877853393555,22.12674331665039,48.66168212890625,47.37112045288086,45.3963508605957,23.66244125366211,25.15323257446289,25.8222713470459,47.427833557128906
2012-01-13,12.873418807983398,53.26041793823242,43.215877532958984,61.04203414916992,77.82077026367188,25.975000381469727,14.164788246154785,71.12589263916016,34.38120651245117,34.509117126464844,84.866943359375,35.04197311401367,43.991790771484375,126.81855773925781,18.863529205322266,49.516510009765625,27.459365844726562,24.677207946777344,75.99864959716797,63.98040008544922,26.6273250579834,22.907602310180664,21.948116302490234,48.66168212890625,47.03050231933594,45.25039291381836,23.522350311279297,25.15323257446289,25.325529098510742,47.45972442626953
2012-01-17,13.023370742797852,53.6307258605957,43.61538314819336,61.56572341918945,78.49657440185547,25.860000610351562,14.350577354431152,71.5482406616211,34.452823638916016,35.16653060913086,83.76923370361328,35.22719955444336,44.348690032958984,127.41315460205078,18.78850746154785,49.41029357910156,26.687271118164062,24.809825897216797,76.15011596679688,64.46253967285156,26.974760055541992,22.915706634521484,22.15799331665039,48.994415283203125,47.283973693847656,45.997398376464844,23.9403076171875,25.217863082885742,25.767942428588867,47.70682144165039
