DATE,DJIA
2012-01-02,
2012-01-03,
2012-01-04,0.16956942787658136
2012-01-05,-0.021905346441641882
2012-01-06,-0.4502821261125334
2012-01-09,0.2647803132315829
2012-01-10,0.5614945414389894
2012-01-11,-0.1045282835324457
2012-01-12,0.1731107429884915
2012-01-13,-0.393362839243494
2012-01-16,
2012-01-17,
2012-01-18,0.7731567398312933
2012-01-19,0.35733978482905826
2012-01-20,0.7615113230693638
2012-01-23,-0.09170524408581571
2012-01-24,-0.2605521283884471
2012-01-25,0.6386285693494642
2012-01-26,-0.17519507972245663
2012-01-27,-0.5841303251534313
2012-01-30,-0.05325078797167038
2012-01-31,-0.16459294653330403
2012-02-01,0.6591903668031307
2012-02-02,-0.08693302810467429
2012-02-03,1.2267222675223621
2012-02-06,-0.13303585060508993
2012-02-07,0.2571208177100104
2012-02-08,0.04463913218035742
2012-02-09,0.05051522140302467
2012-02-10,-0.6946242834224847
2012-02-13,0.567162060417381
2012-02-14,0.0329290723190212
2012-02-15,-0.7586390301261403
2012-02-16,0.9587759346747049
2012-02-17,0.354220905340874
2012-02-20,
2012-02-21,
2012-02-22,-0.20861360635180404
2012-02-23,0.3550469410088297
2012-02-24,-0.013401294862269708
2012-02-27,-0.011092085115471662
2012-02-28,0.18170887488153653
2012-02-29,-0.4087505146891601
2012-03-01,0.21772025581423549
2012-03-02,-0.02103408338260948
2012-03-05,-0.11379942462586001
2012-03-06,-1.5835827131768454
2012-03-07,0.6108671435503865
2012-03-08,0.5485293185529372
2012-03-09,0.10902069840277306
2012-03-12,0.291248124775656
2012-03-13,1.667917517049844
2012-03-14,0.12452706735679442
2012-03-15,0.4436072652572065
2012-03-16,-0.152083933716618
2012-03-19,0.049184509004795984
2012-03-20,-0.5220896001542741
2012-03-21,-0.3466086700930404
2012-03-22,-0.5997551102659315
2012-03-23,0.2647850294316356
2012-03-26,1.2225499844442211
2012-03-27,-0.33208096068335635
2012-03-28,-0.5433850402274842
2012-03-29,0.14928426651366067
2012-03-30,0.5024697704937964
2012-04-02,0.39620047348396525
2012-04-03,-0.4907801707386028
2012-04-04,-0.9499848792827947
2012-04-05,-0.11180457634925034
2012-04-06,
2012-04-09,
2012-04-10,-1.6662944919957567
2012-04-11,0.7010637882821413
2012-04-12,1.4050340532183014
2012-04-13,-1.0604612355246346
2012-04-16,0.557372130938738
2012-04-17,1.4912161172381033
2012-04-18,-0.6332366410848778
2012-04-19,-0.5281421370163741
2012-04-20,0.5013598587435553
2012-04-23,-0.7866299520561171
2012-04-24,0.5738052277065364
2012-04-25,0.6834231966751148
2012-04-26,0.8663186127749967
2012-04-27,0.17924616259215043
2012-04-30,-0.11103573722834881
2012-05-01,0.4959065307748034
2012-05-02,-0.08098572494876777
2012-05-03,-0.4682133231980856
2012-05-04,-1.2827068450951273
2012-05-07,-0.22835828527032476
2012-05-08,-0.5893476813547238
2012-05-09,-0.7531330289582527
2012-05-10,0.1555463312982397
2012-05-11,-0.2682700073302513
2012-05-14,-0.981746758341373
2012-05-15,-0.5002507732671191
2012-05-16,-0.26515489831258066
2012-05-17,-1.2464499916973182
2012-05-18,-0.5893164166073106
2012-05-21,1.0862916211147322
2012-05-22,-0.013356105379536132
2012-05-23,-0.053282217800720844
2012-05-24,0.26852197274926937
2012-05-25,-0.5997317109905254
2012-05-28,
2012-05-29,
2012-05-30,-1.2866294434664027
2012-05-31,-0.21286970559550866
2012-06-01,-2.242912036264144
2012-06-04,-0.14128804007498275
2012-06-05,0.2186599719475879
2012-06-06,2.337579759469399
2012-06-07,0.37120531454117867
2012-06-08,0.7454714005422858
2012-06-11,-1.145356302261824
2012-06-12,1.3013576073792166
2012-06-13,-0.6176281630850156
2012-06-14,1.236918955218158
2012-06-15,0.9068840410531465
2012-06-18,-0.1987535245026706
2012-06-19,0.7467835629482167
2012-06-20,-0.10085061404119244
2012-06-21,-1.9751834747214758
2012-06-22,0.5331103849938401
2012-06-25,-1.0986674006010944
2012-06-26,0.2556983307769656
2012-06-27,0.7339765432663015
2012-06-28,-0.1962007457175119
2012-06-29,2.180654527663073
2012-07-02,-0.06756893453125912
2012-07-03,0.5611435278463972
2012-07-04,
2012-07-05,
2012-07-06,-0.9677065085183401
2012-07-09,-0.28366744805197186
2012-07-10,-0.655157386428229
2012-07-11,-0.38475519252560986
2012-07-12,-0.2483141184884019
2012-07-13,1.6080591522525722
2012-07-16,-0.3911502264038802
2012-07-17,0.6135668561899621
2012-07-18,0.8023612864990426
2012-07-19,0.2681412681777573
2012-07-20,-0.9376015915810498
2012-07-23,-0.79165682207325
2012-07-24,-0.8219857969498534
2012-07-25,0.4643913052884585
2012-07-26,1.6576828167989888
2012-07-27,1.4461272237626943
2012-07-30,-0.020268717369376077
2012-07-31,-0.4932972552900594
2012-08-01,-0.28961049105635794
2012-08-02,-0.713196167779806
2012-08-03,1.6731060673969012
2012-08-06,0.16281578713233102
2012-08-07,0.388722898391336
2012-08-08,0.05344621949667783
2012-08-09,-0.07934450469662124
2012-08-10,0.3242695975430365
2012-08-13,-0.2920686389824567
2012-08-14,0.020575842742509565
2012-08-15,-0.05589112311987776
2012-08-16,0.6460772451994501
2012-08-17,0.18917786433192418
2012-08-20,-0.02682051815838804
2012-08-21,-0.5141422804120666
2012-08-22,-0.2336943944948544
2012-08-23,-0.8791443047146075
2012-08-24,0.7668040729361891
2012-08-27,-0.2533993374989052
2012-08-28,-0.16532168663037083
2012-08-29,0.03426111812512289
2012-08-30,-0.8179088264618883
2012-08-31,0.6908777631139174
2012-09-03,
2012-09-04,
