,Austria,Austrlia,Belgium,Canada,Denmark,Finland,France,Germany,HongKong,Ireland,Italy,Japan,Nethrlnd,NewZland,Norway,Singapor,Spain,Sweden,Swtzrlnd,UK
1999-05,-10.32,-7.62,-4.86,-2.61,-3.96,-4.76,-1.43,-5.43,-7.63,-7.97,-4.15,-4.41,-5.0,-14.52,-2.56,-2.08,-0.08,-1.89,-5.03,-5.39
1999-06,3.94,5.42,-0.37,2.76,0.84,12.58,2.93,4.6,10.27,-2.71,-2.11,9.62,0.66,3.06,-1.41,12.59,-0.11,7.77,-1.42,0.48
1999-07,0.48,-0.36,0.88,0.67,6.0,3.06,1.14,-0.28,-2.78,8.0,-2.4,10.35,3.08,3.75,4.07,0.35,-3.74,4.16,4.13,1.46
1999-08,0.09,-5.04,4.24,-0.92,-0.09,-2.02,3.57,1.88,0.49,0.71,1.86,2.38,2.02,-4.69,2.88,-0.82,3.23,0.63,-0.15,-0.14
1999-09,-4.8,0.95,-3.36,2.08,2.55,5.19,1.78,-1.04,-4.62,-3.07,1.74,6.77,-3.25,-6.89,1.16,-0.77,-1.83,-0.7,-0.18,-2.0
1999-10,0.43,-2.18,-0.94,5.71,1.31,15.31,4.39,4.69,3.62,-7.18,-2.8,6.89,2.83,1.85,-4.62,4.46,0.54,9.38,1.55,2.49
1999-11,-3.73,6.57,-2.19,3.89,3.67,19.67,5.44,1.51,11.43,4.03,3.71,7.63,-0.21,2.44,4.05,5.57,7.1,9.13,-0.38,2.25
1999-12,5.68,5.59,7.84,14.05,5.38,30.83,14.46,16.79,9.7,1.19,20.44,5.08,9.94,8.32,11.34,12.17,6.32,16.75,2.95,6.57
2000-01,-9.0,-4.14,-17.06,-0.46,-5.27,-0.82,-6.9,-4.1,-7.53,-6.88,-5.15,-5.53,-12.05,-11.55,-7.59,-10.69,-5.97,0.08,-10.05,-8.36
2000-02,-4.63,-2.54,-1.91,5.22,3.81,7.21,7.6,9.69,3.06,1.06,17.04,-2.27,5.71,-4.21,0.67,-6.77,13.83,19.73,-1.43,-1.99
2000-03,2.31,-1.13,-0.56,7.19,7.94,2.57,1.02,-0.53,4.13,9.96,-7.22,7.87,2.69,5.89,1.08,-0.19,-5.34,-4.01,7.86,6.66
2000-04,-4.8,-3.17,-2.54,-2.76,-9.34,2.25,-3.18,-8.21,-9.23,-8.98,-6.44,-8.02,-3.28,-1.73,-7.38,2.76,-8.23,-1.86,-3.63,-3.96
2000-05,3.03,-3.16,3.63,-2.95,6.28,-8.98,1.78,-2.27,-10.03,-6.12,2.84,-7.09,2.54,-8.2,3.89,-15.13,-4.93,-4.04,5.23,-3.78
2000-06,3.45,12.77,7.89,10.0,0.81,-1.26,3.69,0.23,8.67,3.41,5.68,6.73,5.69,6.3,10.1,12.6,1.91,-1.74,4.09,1.92
2000-07,-1.21,-4.31,1.31,1.59,2.96,-11.89,-1.91,0.1,6.61,-3.2,-3.55,-11.26,-3.67,-2.08,-1.74,-0.62,-3.23,-2.97,1.3,-0.01
2000-08,-2.57,-0.12,-1.75,6.73,5.84,-2.35,-2.24,-3.85,5.84,1.66,-0.47,6.36,-0.29,-7.13,6.5,5.78,-0.55,-0.59,-1.48,1.9
2000-09,-0.71,-5.75,-3.27,-7.88,-1.01,-8.48,-6.14,-4.47,-4.13,6.55,-5.65,-4.29,-3.57,-9.38,-2.29,-7.89,-0.47,-12.14,-4.52,-3.3
2000-10,-5.56,-5.12,-2.75,-6.28,-3.05,0.1,-2.15,0.31,-4.63,-2.57,1.03,-6.77,-0.88,-7.6,-2.83,0.35,-8.51,-6.69,-0.43,-0.07
2000-11,-2.35,1.97,-1.4,-5.74,-5.09,1.46,-3.89,-7.06,-1.94,0.79,1.32,-2.68,-0.93,5.81,-3.56,-1.88,-6.89,-8.89,3.52,-4.99
2000-12,12.7,3.98,9.38,3.46,5.56,7.32,8.26,9.13,11.39,10.42,1.69,-8.61,5.53,0.9,6.6,-0.47,7.08,4.74,9.09,6.97
2001-01,2.76,3.93,-3.73,3.68,11.08,-16.52,0.52,3.67,3.04,2.04,2.4,-0.34,-0.34,8.13,3.8,1.4,8.36,7.51,-2.23,-0.71
2001-02,6.88,-5.55,1.3,-13.29,-8.39,-28.99,-10.46,-8.48,-1.81,-1.49,-10.8,-5.49,-6.32,-5.28,-2.75,-1.75,-7.06,-14.52,-6.16,-6.35
2001-03,-5.39,-10.95,-8.6,-7.99,-10.47,0.02,-7.17,-9.86,-10.95,-8.63,-6.96,-3.49,-9.06,-2.32,-8.08,-19.11,-5.69,-19.88,-9.75,-6.03
2001-04,3.17,10.77,1.23,6.88,1.95,30.63,8.96,6.76,1.8,5.69,5.38,8.59,6.48,6.96,7.38,2.09,5.73,12.04,2.2,6.67
2001-05,-6.8,0.88,-6.06,1.88,1.0,-9.77,-6.57,-6.7,-0.85,2.81,-8.59,-0.38,-4.1,-7.24,-2.47,-3.71,-6.87,-5.43,-0.97,-2.72
2001-06,0.37,2.81,2.94,-2.47,-2.07,-17.52,-4.61,-1.48,-3.24,3.59,-4.83,-5.7,-2.79,1.24,-3.44,5.62,-6.37,-4.89,-3.36,-3.37
2001-07,6.23,-4.98,4.92,-0.94,3.76,-2.68,1.11,0.61,-1.97,-2.06,2.06,-8.5,-0.34,3.22,0.13,-2.48,-1.52,0.45,-1.21,-0.28
2001-08,1.39,2.15,2.18,-4.58,-4.94,-18.41,-3.43,-6.29,-6.05,-1.39,-1.4,-3.08,-1.14,4.73,-3.06,2.1,1.5,-5.36,-0.4,-0.88
2001-09,-8.07,-11.53,-8.63,-8.84,-10.46,-1.51,-13.43,-15.86,-13.47,-12.13,-15.17,-7.28,-12.6,-17.77,-13.85,-18.77,-10.28,-15.15,-6.36,-7.57
2001-10,-2.88,8.38,-2.69,-0.33,2.86,22.54,5.64,5.66,3.75,3.04,4.09,0.54,0.37,8.52,1.49,0.19,4.78,7.26,0.85,2.13
2001-11,5.71,6.69,2.3,8.93,1.44,9.36,3.46,8.65,10.53,4.67,3.76,0.3,4.18,6.68,5.97,6.46,7.66,13.09,2.54,2.02
2001-12,1.45,1.21,4.84,2.13,0.29,6.92,2.91,2.19,5.11,5.04,1.18,-8.17,2.57,-0.56,5.13,8.88,-0.38,3.46,2.12,2.62
2002-01,-0.22,0.23,-4.09,-0.51,-4.14,-7.06,-6.12,-3.52,-1.5,-11.5,-3.37,-7.64,-3.34,4.68,-4.22,10.36,-6.25,-8.46,-5.29,-3.91
2002-02,2.97,0.48,-0.13,-0.69,3.8,-3.49,0.14,-0.97,-3.33,-6.93,0.1,4.21,0.46,-0.87,5.59,-3.31,1.79,1.91,2.27,-0.58
2002-03,5.74,4.08,2.64,3.73,2.11,0.68,6.93,7.54,5.5,6.87,6.92,6.32,8.74,4.45,8.89,4.26,2.21,4.28,6.6,4.79
2002-04,6.78,-1.19,5.24,-0.46,-4.61,-14.49,-1.52,-3.22,5.57,2.73,0.51,5.45,-0.32,0.06,1.41,-2.88,2.78,-8.93,2.18,0.89
2002-05,1.71,6.2,1.33,2.65,3.26,-4.1,-0.06,-1.38,-3.19,6.18,-2.3,7.15,0.09,13.12,1.21,-1.56,1.45,-1.41,3.58,-1.06
2002-06,1.46,-5.23,-1.1,-5.36,3.08,1.34,-3.73,-3.99,-5.52,-4.41,-1.38,-5.35,-2.46,-1.39,-1.58,-5.91,-6.69,-1.11,-3.7,-4.4
2002-07,-6.62,-6.33,-11.39,-10.98,-11.51,-13.07,-11.59,-14.92,-3.83,-11.25,-9.17,-5.93,-16.62,-8.15,-8.87,-2.05,-7.84,-13.61,-11.95,-6.41
2002-08,-1.15,2.43,-0.02,1.39,3.75,3.69,-0.8,0.17,-4.68,4.22,1.91,-1.37,1.2,4.24,0.17,-0.95,2.37,-0.17,-0.68,-1.14
2002-09,-3.57,-5.65,-15.25,-7.92,-13.48,-4.63,-15.75,-23.3,-7.49,-12.81,-13.83,-4.94,-16.99,-2.37,-12.05,-11.82,-13.2,-14.43,-6.58,-10.26
2002-10,0.51,5.29,6.22,2.75,4.37,19.37,14.01,14.6,3.7,12.05,9.26,-6.59,12.6,7.39,4.43,9.03,13.46,13.51,3.54,7.9
2002-11,2.93,2.54,5.2,5.32,2.8,12.36,7.01,4.7,6.0,4.78,9.71,3.97,6.11,-1.84,6.31,-4.61,8.05,14.8,3.13,2.88
2002-12,11.21,-1.59,3.1,-1.08,4.4,-11.63,-2.93,-6.37,-6.45,-5.58,-3.18,-2.4,-4.29,4.82,2.84,-2.8,-4.33,-8.8,-2.14,-2.08
2003-01,3.85,2.78,-5.23,2.84,-3.81,-8.57,-1.14,-2.23,1.35,2.8,-1.44,-3.65,-5.15,6.4,-5.62,-2.24,1.61,-1.94,-3.6,-7.08
2003-02,0.92,-2.38,-9.19,2.98,-4.46,-3.54,-5.12,-6.51,-1.04,-4.11,1.98,1.05,-7.24,-1.23,-7.3,-0.47,0.96,0.15,-5.24,-1.88
2003-03,1.83,2.98,0.39,-1.27,5.99,0.61,-2.99,-2.87,-5.08,4.93,-5.59,-4.36,-2.13,0.01,0.54,-1.54,-0.33,-2.54,-0.54,-0.63
2003-04,7.18,8.47,16.68,6.57,12.53,17.85,15.04,21.99,-0.96,10.28,13.73,0.62,11.11,5.18,12.87,1.61,12.13,17.16,10.65,10.58
2003-05,7.24,4.82,9.03,8.82,7.62,5.16,7.8,7.24,8.64,4.28,10.57,4.68,6.16,6.25,4.95,8.99,7.05,4.86,6.21,6.71
2003-06,1.92,3.48,-1.29,3.11,-0.22,-4.18,0.2,4.65,1.18,-0.65,-2.77,7.86,1.28,10.18,3.91,5.18,3.02,1.29,0.09,0.93
2003-07,-1.19,0.27,2.3,-0.04,-2.09,-1.55,2.43,5.19,6.5,0.5,-0.03,4.06,4.09,-4.02,6.38,7.53,0.74,5.03,3.77,1.02
2003-08,-0.53,3.11,-0.42,4.63,7.08,6.23,1.18,-1.31,11.32,1.42,-2.38,10.47,1.98,2.6,0.8,3.33,-1.21,1.53,-0.65,-0.9
2003-09,5.01,3.26,6.12,1.8,4.04,-2.19,1.79,0.12,5.94,2.94,4.25,6.14,-0.59,5.14,-0.2,3.17,1.07,4.67,4.8,3.61
2003-10,3.25,8.6,5.15,7.17,6.08,10.53,7.52,11.62,4.79,5.5,5.09,4.16,5.99,3.37,11.93,5.93,5.75,8.03,2.94,7.15
2003-11,7.73,-0.38,4.01,2.51,-0.08,6.23,5.03,4.87,-0.19,1.7,8.08,-3.23,3.88,6.53,5.36,-0.02,5.61,3.76,5.46,2.77
2003-12,8.66,7.91,8.81,6.23,7.46,-0.76,8.55,10.25,2.26,10.33,5.0,6.73,8.76,6.48,9.4,4.7,11.41,8.85,7.79,7.54
2004-01,9.61,0.49,6.22,0.65,6.11,10.96,1.38,1.55,9.62,2.15,2.02,1.69,0.48,2.5,0.96,4.62,2.03,3.23,2.87,0.54
2004-02,3.12,4.26,4.12,2.15,5.47,6.08,2.8,-0.39,3.16,-0.57,1.64,0.06,2.05,0.86,8.81,2.89,3.82,3.61,0.37,4.67
2004-03,3.41,0.41,-4.09,0.01,-6.55,-5.03,-3.31,-4.73,-6.05,1.0,-2.78,14.24,-4.62,1.68,-0.09,-0.26,-3.84,-2.24,-2.56,-2.84
2004-04,1.48,-4.91,0.3,-7.33,-3.24,-18.16,-1.17,-0.26,-5.04,1.01,1.35,-4.96,-1.19,-4.46,-2.6,-2.47,-0.74,-1.12,0.68,-1.05
2004-05,-0.46,0.86,1.0,2.91,1.31,-0.72,1.44,-0.27,-0.69,0.24,-0.54,-2.9,1.41,-0.97,3.6,-1.79,-0.16,1.16,1.06,2.13
2004-06,5.1,-0.18,2.12,3.35,5.43,4.92,2.03,2.89,0.31,4.56,2.88,4.5,2.35,3.77,3.24,1.35,1.6,3.11,0.11,0.25
2004-07,1.24,0.43,-1.07,1.0,-0.92,-9.43,-3.03,-4.38,1.76,-2.57,-2.35,-6.1,-4.53,4.29,-1.47,2.14,-2.43,-3.53,-3.54,-0.95
2004-08,0.23,1.2,4.79,-0.25,0.81,1.16,-0.54,-2.2,6.34,3.11,-0.55,0.67,-0.41,1.63,2.73,1.41,0.65,2.19,-0.74,0.05
2004-09,4.89,5.89,7.74,7.73,7.73,10.03,4.05,4.99,1.41,4.79,5.95,-2.8,2.55,4.95,11.37,4.94,4.17,7.44,2.62,3.26
2004-10,5.98,6.13,6.94,6.6,-0.58,8.69,4.59,3.96,-0.65,3.47,5.91,2.41,4.3,-0.31,2.48,1.25,7.45,2.68,2.06,2.83
2004-11,12.38,8.33,7.77,4.29,9.05,9.42,6.12,8.84,9.7,9.99,7.85,4.8,7.18,9.54,12.62,3.1,7.73,12.9,7.06,6.57
2004-12,8.05,4.35,6.08,1.92,3.92,-0.3,4.42,5.41,2.13,6.49,8.06,5.29,4.99,3.61,0.2,3.47,7.35,2.21,4.72,3.53
2005-01,-1.78,0.74,-1.48,-3.86,-2.25,-2.97,-1.28,-3.6,-3.62,-1.03,-1.7,-1.67,-0.11,-0.86,-2.12,3.04,-1.31,-4.53,-2.65,-0.5
2005-02,9.36,4.9,5.73,5.72,8.55,7.67,4.73,4.0,3.72,-1.04,2.92,1.62,6.2,7.68,12.62,1.83,3.36,6.8,5.52,4.44
2005-03,-4.3,-3.87,-1.37,2.01,-0.55,-3.15,-1.18,-2.04,-3.42,-6.77,-0.62,-2.24,-3.35,-8.28,-3.36,-0.71,-3.26,-3.25,-3.02,-2.9
2005-04,-3.79,-1.44,-3.34,-5.34,-3.43,-1.15,-4.26,-5.34,3.73,-3.4,-4.89,-2.15,-5.98,2.48,-3.52,0.37,-2.97,-4.44,-0.81,-1.13
2005-05,3.1,-0.1,-3.37,2.57,2.58,3.58,0.97,1.31,-0.39,2.73,-1.79,-1.93,0.27,-3.89,1.15,0.29,0.28,1.7,-0.13,-1.03
2005-06,7.04,5.26,1.03,6.31,3.75,2.11,1.59,1.73,3.7,3.72,0.79,0.7,4.8,7.02,10.71,3.28,2.42,-0.49,-0.37,1.79
2005-07,3.92,2.42,4.4,5.16,2.83,1.53,5.52,6.37,6.19,3.76,4.62,1.02,5.26,1.36,6.49,6.78,3.54,5.77,5.15,1.69
2005-08,7.97,0.95,2.47,6.04,5.87,1.35,1.01,0.89,-0.99,-0.34,1.82,7.46,-0.23,0.28,8.38,-4.44,0.91,1.43,1.9,3.03
2005-09,1.52,5.35,0.57,5.52,-1.17,4.47,2.23,1.69,2.39,-0.2,1.46,8.99,0.97,1.73,1.8,0.41,5.39,3.14,2.37,1.28
2005-10,-4.4,-5.19,-1.84,-7.85,-3.85,-3.9,-3.58,-2.91,-6.91,-3.43,-6.41,-0.74,-1.81,-3.05,-7.15,-3.07,-3.59,-4.32,1.92,-2.12
2005-11,2.55,2.64,2.64,5.33,2.18,1.25,1.7,2.99,3.3,3.04,1.86,3.64,5.05,0.29,-0.04,3.85,-0.82,2.16,2.78,0.28
2005-12,5.2,2.47,4.6,4.58,7.6,7.04,4.01,4.55,1.2,7.71,4.39,8.91,5.34,0.01,4.59,4.95,1.91,7.51,2.76,3.68
2006-01,12.21,7.49,6.86,7.75,1.51,6.42,7.71,7.99,5.8,5.57,6.14,4.34,6.0,-0.53,12.09,6.22,6.34,5.92,6.24,6.35
2006-02,0.93,-2.05,0.56,-1.44,-0.94,3.42,-0.39,1.2,0.69,2.79,1.52,-1.02,2.38,-2.99,-0.81,2.81,4.08,-0.5,-1.27,-0.35
2006-03,3.73,0.43,2.58,1.2,3.79,8.25,6.71,5.07,1.19,4.5,3.08,2.27,4.91,0.25,11.77,3.21,3.43,8.44,2.73,2.23
2006-04,4.84,9.33,5.42,4.94,4.99,5.55,3.75,4.41,5.08,2.57,4.15,2.75,3.42,5.5,9.82,5.75,4.67,3.88,5.92,6.3
2006-05,-6.66,-5.49,-4.67,-3.28,-4.06,-5.88,-3.64,-5.25,-6.27,-1.86,-2.14,-6.28,-5.08,-7.04,-7.52,-8.39,-2.22,-7.0,-3.65,-2.4
2006-06,1.81,0.71,-0.39,-1.64,-1.07,-1.72,0.67,-0.77,0.73,-1.18,-0.2,-1.1,0.28,-5.62,-2.9,2.6,1.71,1.14,0.33,0.9
2006-07,1.13,1.74,2.95,0.34,-0.39,-0.33,0.97,0.02,2.44,0.15,1.03,-0.83,2.83,0.75,4.06,0.52,2.47,-0.82,3.0,2.45
2006-08,1.41,2.23,3.28,5.0,6.6,4.36,3.38,3.46,2.71,7.5,3.98,1.68,3.81,3.28,-3.98,2.91,3.27,4.28,2.91,1.96
2006-09,2.86,-1.53,3.43,-2.59,3.04,-1.83,1.14,2.21,0.79,1.65,0.67,-1.88,3.15,3.86,-7.52,2.49,5.65,5.18,1.88,-0.15
2006-10,5.77,8.65,3.08,4.94,4.84,4.38,2.82,5.0,1.1,4.62,4.27,1.94,0.87,8.1,8.84,8.39,7.02,7.01,2.69,5.18
2006-11,3.95,3.38,4.06,3.0,6.01,4.19,3.94,4.81,6.04,4.43,5.74,0.45,2.83,4.0,8.9,7.2,4.94,4.0,3.37,2.37
2006-12,9.22,3.59,4.81,-0.56,4.03,3.33,3.85,4.57,6.23,8.59,2.72,2.4,4.25,9.07,5.39,6.17,1.88,8.67,2.3,2.82
2007-01,0.1,0.17,0.62,0.24,3.38,3.25,-0.17,1.12,1.87,-3.95,0.32,0.75,0.68,0.39,4.0,4.87,1.94,1.7,2.22,0.23
2007-02,-3.22,3.34,-0.39,0.68,-0.08,0.69,0.41,0.79,-2.61,3.77,-0.37,4.01,-0.06,-0.69,-3.52,0.64,0.01,-2.75,-1.85,-0.2
2007-03,7.45,5.88,4.28,2.49,4.43,6.22,3.94,4.19,1.88,1.03,2.63,-1.26,7.09,3.69,5.01,6.22,4.29,6.08,3.04,3.54
2007-04,4.56,5.64,5.67,5.89,7.1,8.08,7.35,8.92,2.17,2.93,7.64,-2.17,8.76,6.71,5.48,4.48,0.88,12.04,6.68,4.12
2007-05,2.78,2.21,1.81,9.02,3.25,5.7,2.82,3.78,2.13,3.14,-0.12,1.22,-0.73,1.62,2.22,3.96,5.36,-2.11,-0.68,1.98
2007-06,-0.27,2.73,-1.21,-0.08,-1.92,-0.09,0.91,1.42,0.64,-3.67,-0.8,-0.13,0.79,2.98,6.89,1.82,-2.45,-1.09,-2.15,1.01
2007-07,-4.3,-2.07,-3.65,-0.5,4.57,0.2,-4.01,-3.13,6.56,-7.26,-2.95,-0.19,-0.07,-1.57,-1.81,1.22,0.45,0.25,-1.61,-2.54
2007-08,-3.12,-0.74,-2.39,0.12,-0.97,4.14,-1.72,0.45,-1.08,-1.87,-1.13,-3.03,-2.28,-12.05,-3.81,-3.32,-2.4,-4.98,-1.3,-0.86
2007-09,3.36,14.7,4.92,9.47,5.24,11.27,5.44,7.34,12.57,-2.1,4.65,1.93,8.0,13.2,14.7,11.61,5.03,7.52,4.32,3.81
2007-10,8.58,7.96,3.6,9.51,3.13,3.45,4.61,4.64,10.41,3.2,3.74,0.06,2.24,-1.34,4.17,4.86,9.03,-1.26,1.58,6.25
2007-11,-5.86,-8.1,-6.39,-11.09,-6.64,-3.25,-1.94,-2.16,-3.04,-9.14,-3.29,-1.83,-4.29,-3.3,-6.15,-7.49,0.18,-7.52,-0.24,-5.43
2007-12,0.13,-3.17,-1.99,1.67,-2.11,-2.84,-1.43,0.48,0.9,-4.13,-1.27,-3.41,0.5,-1.46,1.53,-0.01,-4.08,-2.91,-3.62,-2.97
2008-01,-9.6,-9.39,-6.88,-5.9,-10.27,-7.51,-12.15,-10.01,-12.48,-2.2,-9.86,-4.77,-8.94,-5.67,-18.63,-13.06,-9.94,-10.88,-5.38,-8.38
2008-02,3.63,4.4,2.95,4.88,7.1,3.72,1.21,1.24,0.02,-0.38,0.81,1.18,3.17,-2.12,11.67,5.32,1.77,7.2,3.56,1.26
2008-03,1.38,-6.09,2.89,-5.31,3.27,-3.52,1.71,1.66,-6.1,0.22,-2.06,-3.51,3.03,-5.44,-1.22,-1.19,4.64,1.63,0.62,-2.49
2008-04,7.68,8.14,3.59,6.47,0.24,0.01,5.98,3.91,6.98,1.36,5.63,6.32,2.6,4.61,12.16,5.32,1.99,4.13,0.92,6.3
2008-05,3.08,4.24,-3.48,6.97,4.98,1.02,2.12,1.76,1.17,-3.12,1.12,2.17,0.98,0.18,6.67,3.13,-1.38,2.26,0.99,0.02
2008-06,-7.43,-7.0,-12.56,-4.46,-6.34,-11.04,-9.24,-7.19,-10.03,-13.58,-10.73,-6.48,-12.54,-12.48,-5.77,-7.44,-9.22,-14.69,-5.59,-6.49
2008-07,-7.3,-7.01,-5.82,-6.25,-3.33,-2.08,-3.44,-1.67,-1.71,-16.24,-4.6,-3.0,-4.37,0.22,-8.3,-3.44,-3.37,-1.85,-1.12,-4.5
2008-08,-7.13,-5.38,-1.67,-2.29,-5.38,-5.67,-3.74,-6.21,-5.82,-2.89,-3.85,-4.26,0.28,-3.66,-5.57,-10.09,-6.52,-5.13,-3.52,-3.94
2008-09,-25.72,-17.35,-16.74,-14.57,-19.86,-21.74,-14.22,-11.59,-17.93,-23.46,-14.36,-10.34,-18.8,-11.67,-28.79,-17.03,-10.84,-18.4,-9.66,-15.29
2008-10,-34.25,-27.69,-29.53,-26.93,-25.69,-19.51,-22.23,-20.68,-22.72,-23.87,-22.88,-13.43,-26.37,-18.98,-30.95,-28.31,-22.78,-27.66,-12.56,-20.46
2008-11,-10.27,-9.06,-10.68,-6.76,-8.71,-9.45,-5.57,-10.25,-2.78,-15.87,-5.77,0.1,-8.25,-9.84,-12.89,-2.82,-2.28,-5.86,-9.58,-5.99
2008-12,8.4,7.05,10.42,-0.57,4.11,6.15,8.82,12.64,6.3,1.9,7.33,8.51,10.07,4.97,1.28,9.4,13.54,7.15,8.78,-1.49
2009-01,-7.94,-13.62,-4.83,-2.83,-4.81,-13.26,-14.01,-15.56,-0.12,-8.42,-13.38,-6.42,-9.2,-10.06,2.57,-5.62,-14.17,-12.99,-11.06,-6.44
2009-02,-12.99,-3.52,-5.52,-9.68,-9.06,-14.85,-10.27,-11.64,-4.75,-11.51,-13.02,-12.02,-12.31,-9.13,-7.16,-9.73,-12.15,-3.99,-11.1,-7.36
2009-03,17.65,17.09,6.31,8.8,0.63,10.86,7.57,10.14,3.99,11.09,7.19,1.41,5.65,15.02,8.18,6.81,4.75,11.23,8.15,3.52
2009-04,10.96,11.37,10.82,13.6,18.1,25.9,13.17,13.62,16.63,19.47,18.25,8.0,13.81,5.65,12.9,16.67,11.73,25.22,8.21,13.84
2009-05,18.96,12.8,11.97,21.71,14.96,10.41,12.74,10.81,21.09,14.4,13.05,10.91,13.89,15.17,19.47,29.61,13.15,9.71,9.85,14.32
2009-06,-1.31,4.7,-0.51,-5.93,-1.93,-4.19,-3.43,-2.14,-0.44,-0.99,-3.47,2.92,-0.88,1.53,-4.57,-0.43,1.6,-1.15,-0.87,-1.27
2009-07,7.61,11.49,6.91,12.12,7.89,3.23,9.59,10.57,13.31,5.78,7.95,4.05,13.54,8.39,9.39,15.55,11.62,18.64,11.0,9.99
2009-08,14.45,7.68,8.97,-0.45,8.06,9.15,7.83,0.83,-5.7,12.43,7.71,3.4,7.01,4.55,2.43,0.3,6.02,4.94,5.21,4.82
2009-09,7.49,11.0,6.56,7.6,2.86,4.77,7.15,6.34,7.3,10.07,7.44,-0.69,8.02,6.38,10.03,5.71,5.53,2.7,4.67,2.85
2009-10,-4.81,0.1,-1.57,-5.11,-2.74,-6.53,-3.57,-4.15,3.67,-13.03,-4.56,-2.38,-2.42,1.18,3.86,-1.02,-2.74,2.78,-0.17,1.25
2009-11,1.89,3.98,3.02,7.82,3.57,4.62,3.33,5.6,0.1,-0.36,1.63,-1.98,3.55,-2.86,4.76,3.45,3.54,1.96,2.04,2.91
2009-12,-4.03,1.45,-1.02,4.09,-1.09,1.07,1.46,0.55,2.44,-0.19,0.84,0.27,2.79,3.68,3.62,5.83,-1.56,-1.02,1.15,2.52
2010-01,-4.34,-7.23,-2.2,-6.14,3.0,1.03,-6.6,-7.49,-4.86,-3.08,-7.15,2.39,-3.12,-4.59,-4.73,-4.81,-9.18,-2.33,-3.1,-4.3
2010-02,-3.43,2.96,-1.29,6.62,-1.94,-2.37,-2.54,-2.07,3.16,-4.66,-5.36,0.71,-3.85,-1.0,-2.65,0.7,-6.97,3.23,1.58,-1.41
2010-03,6.16,8.47,3.52,7.59,6.15,10.67,6.28,7.95,7.2,9.84,6.63,4.78,7.4,4.43,5.97,4.73,3.52,7.24,6.07,6.58
2010-04,1.62,-0.07,-3.07,1.51,4.87,-4.99,-2.39,-1.38,0.33,6.13,-5.64,0.62,-0.78,3.46,2.91,5.9,-4.44,4.26,-3.89,-0.42
2010-05,-14.1,-15.97,-8.21,-6.28,-12.01,-13.12,-12.63,-9.9,-7.34,-18.84,-13.8,-7.93,-11.94,-12.02,-16.39,-9.35,-16.53,-13.85,-10.65,-10.99
2010-06,-4.08,-3.27,-1.81,-5.34,-0.13,-4.82,-2.13,-0.15,2.64,-3.48,-1.83,-0.72,-1.75,-1.68,-4.45,3.11,-1.3,1.52,4.49,-1.98
2010-07,15.17,12.46,11.14,7.64,10.16,13.23,12.33,9.7,6.2,8.01,14.43,2.96,11.4,7.86,14.21,8.16,20.08,13.01,5.02,12.81
2010-08,-5.19,-2.16,-3.72,-1.96,-6.04,-4.43,-6.02,-5.58,1.64,-10.01,-7.27,-2.45,-7.05,-3.29,-5.53,-0.38,-5.44,-5.67,1.88,-2.62
2010-09,13.01,14.12,12.43,8.19,12.96,16.94,14.45,13.63,12.88,9.93,12.69,4.65,14.02,9.99,14.14,8.2,11.17,19.2,5.4,9.43
2010-10,6.95,3.96,5.46,3.83,4.49,4.13,5.78,7.87,2.63,3.8,6.85,1.29,3.02,8.66,5.65,3.98,5.29,1.12,2.85,4.31
2010-11,-8.77,-3.04,-12.23,1.8,-6.62,-8.8,-10.81,-5.61,2.21,-8.03,-15.0,1.91,-9.02,-3.89,-7.63,-2.43,-18.65,-3.54,-3.88,-5.04
2010-12,15.89,10.88,5.76,7.43,9.9,11.89,8.47,7.88,1.72,11.9,9.4,7.56,10.97,7.23,17.98,5.15,9.77,11.12,10.21,7.87
2011-01,2.27,-2.48,1.57,0.79,3.07,3.88,6.35,3.17,1.62,2.42,8.85,0.4,4.14,0.37,-0.16,-0.53,12.53,2.88,-0.65,1.84
2011-02,1.48,4.55,3.31,7.47,2.57,-3.36,3.37,2.91,-3.59,4.93,2.41,4.79,3.6,-2.44,7.07,-4.74,2.1,0.06,3.96,3.92
2011-03,2.44,1.97,3.13,-0.05,0.94,4.71,-0.1,0.64,1.0,-0.64,0.82,-8.71,2.27,2.78,1.58,4.19,1.08,2.63,-1.25,-2.44
2011-04,3.41,5.57,11.06,1.92,4.76,7.08,7.86,9.93,3.6,9.09,8.87,0.83,4.77,9.27,6.26,5.28,7.78,8.69,10.42,7.47
2011-05,-1.97,-4.75,-5.5,-3.3,-3.7,-7.32,-2.54,-4.55,0.77,-4.0,-5.74,-1.61,-4.62,2.57,-4.58,-1.5,-4.85,-2.76,1.6,-2.49
2011-06,-0.75,-2.03,-4.02,-3.22,-4.69,-4.95,0.61,1.04,-3.29,0.68,-2.72,2.47,-3.22,-1.76,-4.65,-1.1,-0.79,-6.01,-4.12,-3.09
2011-07,-5.07,-0.51,-3.68,-1.62,-3.68,-9.67,-6.53,-3.47,1.86,-5.87,-8.35,4.0,-4.82,5.3,-0.86,4.5,-6.79,-3.84,0.01,0.15
2011-08,-10.15,-4.99,-5.68,-4.23,-13.22,-6.02,-10.44,-15.58,-6.8,-7.04,-13.54,-7.44,-10.26,-3.99,-7.8,-9.72,-8.47,-11.4,-7.14,-8.21
